date,total
2018-04-15 00:00:00,509
2018-04-16 00:00:00,714
2018-04-17 00:00:00,842
2018-04-18 00:00:00,876
2018-04-19 00:00:00,993
2018-04-20 00:00:00,1099
2018-04-21 00:00:00,1284
2018-04-22 00:00:00,1527
2018-04-23 00:00:00,1777
2018-04-24 00:00:00,1939
2018-04-25 00:00:00,2129
2018-04-26 00:00:00,2289
2018-04-27 00:00:00,2407
2018-04-28 00:00:00,2534
2018-04-29 00:00:00,2644
2018-04-30 00:00:00,2737
2018-05-01 00:00:00,2769
2018-05-02 00:00:00,2773
2018-05-03 00:00:00,2774
2018-05-04 00:00:00,2818
2018-05-05 00:00:00,2920
2018-05-06 00:00:00,3024
2018-05-07 00:00:00,3150
2018-05-08 00:00:00,3250
2018-05-09 00:00:00,3294
2018-05-10 00:00:00,3325
2018-05-11 00:00:00,3340
2018-05-12 00:00:00,3342
2018-05-13 00:00:00,3347
2018-05-14 00:00:00,3352
2018-05-15 00:00:00,3366
2018-05-16 00:00:00,3384
2018-05-17 00:00:00,3399
2018-05-18 00:00:00,3422
2018-05-19 00:00:00,3434
2018-05-20 00:00:00,3443
2018-05-21 00:00:00,3447
2018-05-22 00:00:00,3458
2018-05-23 00:00:00,3468
2018-05-24 00:00:00,3498
2018-05-25 00:00:00,3522
2018-05-26 00:00:00,3553
2018-05-27 00:00:00,3583
2018-05-28 00:00:00,3600
2018-05-29 00:00:00,3605
2018-05-30 00:00:00,3707
