date,total
2018-04-15 00:00:00,1586
2018-04-16 00:00:00,1919
2018-04-17 00:00:00,2049
2018-04-18 00:00:00,2115
2018-04-19 00:00:00,2253
2018-04-20 00:00:00,2371
2018-04-21 00:00:00,2503
2018-04-22 00:00:00,2679
2018-04-23 00:00:00,2815
2018-04-24 00:00:00,2948
2018-04-25 00:00:00,3073
2018-04-26 00:00:00,3185
2018-04-27 00:00:00,3300
2018-04-28 00:00:00,3395
2018-04-29 00:00:00,3475
2018-04-30 00:00:00,3542
2018-05-01 00:00:00,3548
2018-05-02 00:00:00,3548
2018-05-03 00:00:00,3548
2018-05-04 00:00:00,3554
2018-05-05 00:00:00,3565
2018-05-06 00:00:00,3587
2018-05-07 00:00:00,3608
2018-05-08 00:00:00,3612
2018-05-09 00:00:00,3617
2018-05-10 00:00:00,3625
2018-05-11 00:00:00,3626
2018-05-12 00:00:00,3626
2018-05-13 00:00:00,3626
2018-05-14 00:00:00,3626
2018-05-15 00:00:00,3626
2018-05-16 00:00:00,3627
2018-05-17 00:00:00,3632
2018-05-18 00:00:00,3638
2018-05-19 00:00:00,3640
2018-05-20 00:00:00,3642
2018-05-21 00:00:00,3644
2018-05-22 00:00:00,3646
2018-05-23 00:00:00,3654
2018-05-24 00:00:00,3669
2018-05-25 00:00:00,3677
2018-05-26 00:00:00,3685
2018-05-27 00:00:00,3686
2018-05-28 00:00:00,3687
2018-05-29 00:00:00,3689
2018-05-30 00:00:00,3707
