date,total
2018-04-15 00:00:00,38
2018-04-16 00:00:00,54
2018-04-17 00:00:00,67
2018-04-18 00:00:00,68
2018-04-19 00:00:00,102
2018-04-20 00:00:00,120
2018-04-21 00:00:00,157
2018-04-22 00:00:00,182
2018-04-23 00:00:00,208
2018-04-24 00:00:00,257
2018-04-25 00:00:00,302
2018-04-26 00:00:00,350
2018-04-27 00:00:00,399
2018-04-28 00:00:00,444
2018-04-29 00:00:00,494
2018-04-30 00:00:00,547
2018-05-01 00:00:00,567
2018-05-02 00:00:00,567
2018-05-03 00:00:00,569
2018-05-04 00:00:00,602
2018-05-05 00:00:00,658
2018-05-06 00:00:00,709
2018-05-07 00:00:00,773
2018-05-08 00:00:00,813
2018-05-09 00:00:00,871
2018-05-10 00:00:00,941
2018-05-11 00:00:00,971
2018-05-12 00:00:00,981
2018-05-13 00:00:00,988
2018-05-14 00:00:00,994
2018-05-15 00:00:00,1029
2018-05-16 00:00:00,1056
2018-05-17 00:00:00,1075
2018-05-18 00:00:00,1119
2018-05-19 00:00:00,1133
2018-05-20 00:00:00,1150
2018-05-21 00:00:00,1162
2018-05-22 00:00:00,1186
2018-05-23 00:00:00,1216
2018-05-24 00:00:00,1257
2018-05-25 00:00:00,1273
2018-05-26 00:00:00,1311
2018-05-27 00:00:00,1342
2018-05-28 00:00:00,1356
2018-05-29 00:00:00,1371
2018-05-30 00:00:00,3707
