date,total
2018-04-15 00:00:00,123
2018-04-16 00:00:00,201
2018-04-17 00:00:00,300
2018-04-18 00:00:00,307
2018-04-19 00:00:00,385
2018-04-20 00:00:00,456
2018-04-21 00:00:00,600
2018-04-22 00:00:00,784
2018-04-23 00:00:00,976
2018-04-24 00:00:00,1169
2018-04-25 00:00:00,1361
2018-04-26 00:00:00,1544
2018-04-27 00:00:00,1686
2018-04-28 00:00:00,1811
2018-04-29 00:00:00,1925
2018-04-30 00:00:00,2042
2018-05-01 00:00:00,2070
2018-05-02 00:00:00,2072
2018-05-03 00:00:00,2079
2018-05-04 00:00:00,2116
2018-05-05 00:00:00,2218
2018-05-06 00:00:00,2285
2018-05-07 00:00:00,2426
2018-05-08 00:00:00,2551
2018-05-09 00:00:00,2637
2018-05-10 00:00:00,2707
2018-05-11 00:00:00,2728
2018-05-12 00:00:00,2737
2018-05-13 00:00:00,2743
2018-05-14 00:00:00,2755
2018-05-15 00:00:00,2798
2018-05-16 00:00:00,2851
2018-05-17 00:00:00,2898
2018-05-18 00:00:00,2936
2018-05-19 00:00:00,2964
2018-05-20 00:00:00,2981
2018-05-21 00:00:00,3002
2018-05-22 00:00:00,3039
2018-05-23 00:00:00,3092
2018-05-24 00:00:00,3140
2018-05-25 00:00:00,3169
2018-05-26 00:00:00,3221
2018-05-27 00:00:00,3272
2018-05-28 00:00:00,3305
2018-05-29 00:00:00,3332
2018-05-30 00:00:00,3707
