date,total
2018-04-15 00:00:00,2563
2018-04-16 00:00:00,2852
2018-04-17 00:00:00,3007
2018-04-18 00:00:00,3068
2018-04-19 00:00:00,3146
2018-04-20 00:00:00,3241
2018-04-21 00:00:00,3334
2018-04-22 00:00:00,3418
2018-04-23 00:00:00,3473
2018-04-24 00:00:00,3516
2018-04-25 00:00:00,3577
2018-04-26 00:00:00,3627
2018-04-27 00:00:00,3658
2018-04-28 00:00:00,3684
2018-04-29 00:00:00,3690
2018-04-30 00:00:00,3691
2018-05-01 00:00:00,3691
2018-05-02 00:00:00,3691
2018-05-03 00:00:00,3691
2018-05-04 00:00:00,3694
2018-05-05 00:00:00,3694
2018-05-06 00:00:00,3694
2018-05-07 00:00:00,3695
2018-05-08 00:00:00,3695
2018-05-09 00:00:00,3695
2018-05-10 00:00:00,3695
2018-05-11 00:00:00,3695
2018-05-12 00:00:00,3695
2018-05-13 00:00:00,3695
2018-05-14 00:00:00,3695
2018-05-15 00:00:00,3695
2018-05-16 00:00:00,3696
2018-05-17 00:00:00,3696
2018-05-18 00:00:00,3696
2018-05-19 00:00:00,3697
2018-05-20 00:00:00,3697
2018-05-21 00:00:00,3697
2018-05-22 00:00:00,3697
2018-05-23 00:00:00,3697
2018-05-24 00:00:00,3697
2018-05-25 00:00:00,3697
2018-05-26 00:00:00,3697
2018-05-27 00:00:00,3697
2018-05-28 00:00:00,3697
2018-05-29 00:00:00,3697
2018-05-30 00:00:00,3707
