date,total
2018-04-15 00:00:00,870
2018-04-16 00:00:00,1105
2018-04-17 00:00:00,1291
2018-04-18 00:00:00,1346
2018-04-19 00:00:00,1512
2018-04-20 00:00:00,1676
2018-04-21 00:00:00,1919
2018-04-22 00:00:00,2118
2018-04-23 00:00:00,2301
2018-04-24 00:00:00,2440
2018-04-25 00:00:00,2594
2018-04-26 00:00:00,2738
2018-04-27 00:00:00,2862
2018-04-28 00:00:00,2991
2018-04-29 00:00:00,3083
2018-04-30 00:00:00,3173
2018-05-01 00:00:00,3201
2018-05-02 00:00:00,3201
2018-05-03 00:00:00,3201
2018-05-04 00:00:00,3224
2018-05-05 00:00:00,3262
2018-05-06 00:00:00,3324
2018-05-07 00:00:00,3410
2018-05-08 00:00:00,3464
2018-05-09 00:00:00,3492
2018-05-10 00:00:00,3509
2018-05-11 00:00:00,3517
2018-05-12 00:00:00,3520
2018-05-13 00:00:00,3528
2018-05-14 00:00:00,3531
2018-05-15 00:00:00,3536
2018-05-16 00:00:00,3541
2018-05-17 00:00:00,3550
2018-05-18 00:00:00,3559
2018-05-19 00:00:00,3559
2018-05-20 00:00:00,3563
2018-05-21 00:00:00,3564
2018-05-22 00:00:00,3564
2018-05-23 00:00:00,3574
2018-05-24 00:00:00,3591
2018-05-25 00:00:00,3612
2018-05-26 00:00:00,3627
2018-05-27 00:00:00,3644
2018-05-28 00:00:00,3653
2018-05-29 00:00:00,3655
2018-05-30 00:00:00,3707
